Date,Time,TimeStamp,Total_load,LFS,LFW,Load_res
2017-01-06,17:59:59,,12.9446575,0,0.227821522,3403.87488
2017-01-06,18:59:59,,12.389855,0,0.2769148,3253.93824
2017-01-06,19:59:59,,11.9285925,0,0.341170681,3030.85608
2017-01-06,20:59:59,,11.308365,0,0.394190707,2804.676
2017-01-06,21:59:59,,11.6497275,0,0.39687441,2612.2404
2017-01-06,22:59:59,,11.7609375,0,0.39929803,2203.68456
2017-01-07,00:00:00,,11.2878625,0,0.430952976,1701.56616
2017-01-07,00:59:59,,10.7468875,0,0.441830579,1454.04672
2017-01-07,01:59:59,,10.2320525,0,0.433651978,1311.18288
2017-01-07,02:59:59,,9.984105,0,0.411945219,1192.44048
2017-01-07,03:59:59,,9.7097375,0,0.415893642,1167.04224
2017-01-07,04:59:59,,9.73729,0,0.408137039,1174.95336
2017-01-07,05:59:59,,9.984845,0,0.456309826,1323.45864
2017-01-07,06:59:59,,10.2482,0,0.456386321,1728.4176
2017-01-07,07:59:59,,10.88445,1.52E-05,0.426894911,2398.16808
2017-01-07,08:59:59,,11.5163625,0.002007431,0.315351036,2770.36368
2017-01-07,09:59:59,,11.9330575,0.010475721,0.22106573,2882.08872
2017-01-07,10:59:59,,12.06205,0.020336768,0.12839192,3071.98248
2017-01-07,11:59:59,,12.17234,0.025006096,0.093410712,3108.00168
2017-01-07,12:59:59,,11.946,0.023068939,0.082006568,2920.81104
2017-01-07,13:59:59,,11.65553,0.018245518,0.078821822,2759.148
2017-01-07,14:59:59,,11.5700875,0.008988987,0.090144372,2725.04736
2017-01-07,15:59:59,,11.6536,0.001509595,0.075097787,2801.69064
2017-01-07,16:59:59,,12.244885,0,0.075951982,3420.42792
2017-01-07,17:59:59,,12.1353325,0,0.068018165,3577.2912
2017-01-07,18:59:59,,11.7440175,0,0.059808967,3360.49056
2017-01-07,19:59:59,,11.1911475,0,0.035321611,3100.12584
2017-01-07,20:59:59,,10.853075,0,0.022168279,2782.61256
2017-01-07,21:59:59,,11.0129225,0,0.0358915,2469.43536
2017-01-07,22:59:59,,11.0569875,0,0.023513318,2058.80304
2017-01-08,00:00:00,,10.6016775,0,0.031971125,1710.96072
2017-01-08,00:59:59,,10.116965,0,0.036299473,1469.32632
2017-01-08,01:59:59,,9.6926825,0,0.035920823,1327.68216
2017-01-08,02:59:59,,9.3753575,0,0.027390344,1200.8556
2017-01-08,03:59:59,,9.3139275,0,0.037233988,1167.0708
2017-01-08,04:59:59,,9.2039525,0,0.03057764,1154.66064
2017-01-08,05:59:59,,9.31256,0,0.038079259,1268.34792
2017-01-08,06:59:59,,9.4301775,0,0.036619478,1600.55616
2017-01-08,07:59:59,,9.8047325,2.37E-05,0.030029426,2289.8652
2017-01-08,08:59:59,,10.3089125,0.011865936,0.023747903,2769.87144
2017-01-08,09:59:59,,10.8085225,0.041968078,0.020948182,3001.08984
2017-01-08,10:59:59,,11.1761175,0.063369096,0.023263434,3296.03568
2017-01-08,11:59:59,,11.3766475,0.071768807,0.020555508,3327.56256
2017-01-08,12:59:59,,11.18109,0.064649246,0.016548439,3047.226
2017-01-08,13:59:59,,10.8389475,0.04618783,0.015546353,2835.8484
2017-01-08,14:59:59,,10.7417325,0.019080324,0.013327996,2750.82864
2017-01-08,15:59:59,,10.7509825,0.002292755,0.016278157,2779.8708
2017-01-08,16:59:59,,11.36103,0,0.016742227,3396.67944
2017-01-08,17:59:59,,11.630555,0,0.017394985,3569.59344
2017-01-08,18:59:59,,11.47805,0,0.018339699,3447.61704
2017-01-08,19:59:59,,11.1334,0,0.018112764,3245.76336
2017-01-08,20:59:59,,10.6766475,0,0.020843639,2929.77216
2017-01-08,21:59:59,,10.653005,0,0.022733068,2530.06488
2017-01-08,22:59:59,,10.55816,0,0.035936122,1972.6224
2017-01-09,00:00:00,,10.1312075,0,0.051921047,1518.91152
2017-01-09,00:59:59,,9.6386775,0,0.059328322,1314.99816
2017-01-09,01:59:59,,9.328285,0,0.084193053,1221.2592
2017-01-09,02:59:59,,9.27317,0,0.106729784,1142.6856
2017-01-09,03:59:59,,9.366855,0,0.114631727,1153.15704
2017-01-09,04:59:59,,9.8083025,0,0.154792928,1245.0816
2017-01-09,05:59:59,,11.0664675,0,0.177380655,1682.7216
2017-01-09,06:59:59,,12.0368575,0,0.209716408,2266.15704
2017-01-09,07:59:59,,12.54493,3.89E-05,0.273090045,2441.7624
2017-01-09,08:59:59,,12.54537,0.010358036,0.310473199,2433.45984
2017-01-09,09:59:59,,12.6080025,0.046270802,0.351283333,2423.96784
2017-01-09,10:59:59,,12.674735,0.089642642,0.362032169,2575.89528
2017-01-09,11:59:59,,12.4042975,0.089020347,0.327590252,2460.99168
2017-01-09,12:59:59,,12.4507925,0.062964393,0.433275877,2266.34352
2017-01-09,13:59:59,,12.3901875,0.038754157,0.47253316,2188.0068
2017-01-09,14:59:59,,12.3932925,0.016138182,0.508151828,2230.32936
2017-01-09,15:59:59,,12.47448,0.002234335,0.548765624,2492.05992
2017-01-09,16:59:59,,12.98776,0,0.587343376,3336.17592
2017-01-09,17:59:59,,12.9136225,0,0.640597988,3574.4856
2017-01-09,18:59:59,,12.3488075,0,0.638592541,3428.01984
2017-01-09,19:59:59,,11.8098875,0,0.686729631,3146.4048
2017-01-09,20:59:59,,11.1365,0,0.666158824,2871.28632
2017-01-09,21:59:59,,11.124275,0,0.578536241,2556.27624
2017-01-09,22:59:59,,10.940885,0,0.466241439,2006.24088
2017-01-10,00:00:00,,10.441475,0,0.541283129,1547.26152
2017-01-10,00:59:59,,9.9922575,0,0.542399957,1326.23064
2017-01-10,01:59:59,,9.7289675,0,0.458078137,1229.52144
2017-01-10,02:59:59,,9.5431475,0,0.369123264,1141.58016
2017-01-10,03:59:59,,9.6379,0,0.366104258,1155.45528
2017-01-10,04:59:59,,10.19103,0,0.35561168,1248.6768
2017-01-10,05:59:59,,11.31821,0,0.294042052,1687.434
2017-01-10,06:59:59,,12.2586825,0,0.242507305,2256.3828
2017-01-10,07:59:59,,12.6394325,4.23E-05,0.2094423,2402.26224
2017-01-10,08:59:59,,12.6064475,0.022977499,0.256969979,2357.7792
2017-01-10,09:59:59,,12.62491,0.056003157,0.288303644,2326.80336
2017-01-10,10:59:59,,12.7329625,0.08907538,0.186764054,2467.60752
2017-01-10,11:59:59,,12.5877475,0.098110933,0.179695907,2368.84032
2017-01-10,12:59:59,,12.649175,0.079851022,0.149626959,2173.88304
2017-01-10,13:59:59,,12.512105,0.055669573,0.1310463,2106.92496
2017-01-10,14:59:59,,12.4783975,0.034187274,0.113434579,2171.37984
2017-01-10,15:59:59,,12.34548,0.004939413,0.105921486,2430.75504
2017-01-10,16:59:59,,13.0415225,0,0.095819033,3286.43784
2017-01-10,17:59:59,,13.0520275,0,0.126558587,3526.48464
2017-01-10,18:59:59,,12.544335,0,0.131789577,3396.34008
2017-01-10,19:59:59,,12.047055,0,0.125323192,3121.4652
2017-01-10,20:59:59,,11.406925,0,0.140021725,2851.36152
2017-01-10,21:59:59,,11.447535,0,0.156565064,2558.95248
2017-01-10,22:59:59,,11.411905,0,0.195763702,2014.07136
2017-01-11,00:00:00,,10.7511525,0,0.17534971,1556.15376
2017-01-11,00:59:59,,10.2830125,0,0.239376106,1330.39704
2017-01-11,01:59:59,,9.9071,0,0.352516179,1231.47696
2017-01-11,02:59:59,,9.5896275,0,0.452657185,1142.2572
2017-01-11,03:59:59,,9.54285,0,0.478821058,1155.80808
2017-01-11,04:59:59,,9.840675,0,0.545960804,1248.1728
2017-01-11,05:59:59,,10.8562325,0,0.626819946,1683.21384
2017-01-11,06:59:59,,11.9023125,0,0.70109031,2255.77296
2017-01-11,07:59:59,,12.384845,1.44E-05,0.703612098,2425.29168
2017-01-11,08:59:59,,12.3808975,0.002566226,0.724010791,2376.48264
2017-01-11,09:59:59,,12.2320075,0.017486064,0.756967429,2349.29856
2017-01-11,10:59:59,,12.27264,0.05188077,0.748116946,2506.43736
2017-01-11,11:59:59,,12.04857,0.072021112,0.766372501,2462.73384
2017-01-11,12:59:59,,11.98606,0.088768889,0.704892117,2262.0024
2017-01-11,13:59:59,,11.94145,0.088053462,0.710622874,2183.20032
2017-01-11,14:59:59,,11.7922075,0.049181619,0.673845307,2245.52664
2017-01-11,15:59:59,,11.6795275,0.009324264,0.668434554,2455.5972
2017-01-11,16:59:59,,12.4013325,0,0.722557384,3270.24264
2017-01-11,17:59:59,,12.4671325,0,0.67878944,3500.15064
2017-01-11,18:59:59,,11.96549,0,0.674362924,3372.87552
2017-01-11,19:59:59,,11.3992975,0,0.651550811,3119.6172
2017-01-11,20:59:59,,10.8312125,0,0.624890995,2872.9176
2017-01-11,21:59:59,,10.9164375,0,0.590144372,2572.21776
2017-01-11,22:59:59,,10.849925,0,0.580768622,2026.3908
2017-01-12,00:00:00,,10.292,0,0.599801878,1566.80664
2017-01-12,00:59:59,,9.8778875,0,0.612484765,1338.4392
2017-01-12,01:59:59,,9.5227725,0,0.616563229,1237.95672
