T,P,DOY,W,Load,LFW,LFS,N,Y
16,11,140,19.0,8.9849975,0.1222968,0.498492946,1,1
17,11,140,19.0,8.9292425,0.17427398,0.384483436,1,1
18,11,140,19.0,9.013705,0.245826346,0.267859441,1,1
19,11,140,19.0,9.0792375,0.216507779,0.128519564,1,1
20,11,140,19.0,8.8770025,0.155154442,0.032963004,1,1
21,11,140,19.0,8.663765,0.157618895,0.002296141,1,1
22,11,140,19.0,8.6976125,0.159418601,0.0,1,1
23,11,140,19.0,8.8314225,0.151679864,0.0,1,1
24,11,140,19.0,8.6769575,0.130213426,0.0,1,1
1,12,150,8.0,8.844785,0.131595976,0.0,1,1
2,12,150,8.0,8.4435975,0.123914455,0.0,1,1
3,12,150,8.0,8.2048025,0.119964464,0.0,1,1
4,12,150,8.0,8.205925,0.125933663,0.0,1,1
5,12,150,8.0,8.21716,0.202757192,0.000568109,1,1
6,12,150,8.0,8.44849,0.196825443,0.023945232,1,1
7,12,150,8.0,9.2256575,0.216730402,0.075295146,1,1
8,12,150,8.0,10.1421275,0.290851251,0.155128388,1,1
9,12,150,8.0,10.7540175,0.331822135,0.214654495,1,1
10,12,150,8.0,11.0509225,0.346502744,0.299753114,1,1
11,12,150,8.0,11.1837075,0.336081093,0.370843748,1,1
12,12,150,8.0,11.2804975,0.333905841,0.479683553,1,1
13,12,150,8.0,11.08173,0.361158387,0.480888349,1,1
14,12,150,8.0,10.9814925,0.406084464,0.453600505,1,1
15,12,150,8.0,10.825565,0.436571279,0.389584561,1,1
16,12,150,8.0,10.6374675,0.487042115,0.314071824,1,1
17,12,150,8.0,10.4924325,0.487603874,0.239008663,1,1
18,12,150,8.0,10.57643,0.461946096,0.167680118,1,1
19,12,150,8.0,10.3719525,0.445576052,0.086482061,1,1
20,12,150,8.0,10.09198,0.439543395,0.032016439,1,1
21,12,150,8.0,9.8538125,0.380166613,0.003456912,1,1
22,12,150,8.0,9.6575,0.320555766,0.0,1,1
23,12,150,8.0,9.74955,0.264695173,0.0,1,1
24,12,150,8.0,9.31434,0.253552599,0.0,1,1
1,13,186,21.0,8.885955,0.054106446,0.0,1,1
2,13,186,21.0,8.4527425,0.057417996,0.0,1,1
3,13,186,21.0,8.1829725,0.051753367,0.0,1,1
4,13,186,21.0,8.0624675,0.044400637,0.0,1,1
5,13,186,21.0,8.1151825,0.031097994,0.000712041,1,1
6,13,186,21.0,8.16715,0.02812509,0.029407033,1,1
7,13,186,21.0,8.832425,0.024908976,0.120409411,1,1
8,13,186,21.0,9.671555,0.022426596,0.264342416,1,1
9,13,186,21.0,10.3365275,0.020395744,0.41948943,1,1
10,13,186,21.0,10.7220725,0.020585591,0.537474008,1,1
11,13,186,21.0,10.8635725,0.0265745,0.608352129,1,1
12,13,186,21.0,10.9788225,0.022859653,0.659364226,1,1
13,13,186,21.0,10.80574,0.024311727,0.6993562,1,1
14,13,186,21.0,10.7867575,0.02850581,0.67041483,1,1
15,13,186,21.0,10.7382125,0.027682797,0.635894818,1,1
16,13,186,21.0,10.68903,0.038669305,0.561620744,1,1
17,13,186,21.0,10.6250825,0.041284065,0.436150848,1,1
18,13,186,21.0,10.571665,0.049577821,0.311514911,1,1
19,13,186,21.0,10.55704,0.065856447,0.172530632,1,1
20,13,186,21.0,10.1917725,0.080283806,0.060336361,1,1
21,13,186,21.0,9.8997325,0.093443807,0.009248065,1,1
22,13,186,21.0,9.49297,0.113881626,0.0,1,1
23,13,186,21.0,9.629875,0.106093787,0.0,1,1
24,13,186,21.0,9.370665,0.115781124,0.0,1,1
1,14,190,10.0,7.933565,0.072103958,0.0,1,1
2,14,190,10.0,7.621605,0.048792778,0.0,1,1
3,14,190,10.0,7.317005,0.052779568,0.0,1,1
4,14,190,10.0,7.1165075,0.056964416,0.0,1,1
5,14,190,10.0,7.0464575,0.05516138,0.000300564,1,1
6,14,190,10.0,6.855665,0.064871294,0.025665644,1,1
7,14,190,10.0,6.899535,0.043250266,0.112355983,1,1
8,14,190,10.0,7.187355,0.035219217,0.262323979,1,1
9,14,190,10.0,7.7441175,0.035298235,0.424350104,1,1
10,14,190,10.0,8.165975,0.02968902,0.550713226,1,1
11,14,190,10.0,8.423155,0.030673147,0.607172732,1,1
12,14,190,10.0,8.594385,0.024828933,0.644005818,1,1
13,14,190,10.0,8.6778625,0.02534819,0.662936284,1,1
14,14,190,10.0,8.49957,0.023009478,0.646292646,1,1
15,14,190,10.0,8.411525,0.022790897,0.594989298,1,1
16,14,190,10.0,8.385955,0.028729522,0.531752281,1,1
17,14,190,10.0,8.423815,0.036248497,0.408896024,1,1
18,14,190,10.0,8.582655,0.058212276,0.251839792,1,1
19,14,190,10.0,8.734645,0.065479831,0.131644586,1,1
20,14,190,10.0,8.7285525,0.063844067,0.055507014,1,1
21,14,190,10.0,8.5705075,0.073373369,0.007562365,1,1
22,14,190,10.0,8.549585,0.098727716,0.0,1,1
23,14,190,10.0,8.82536,0.117122369,0.0,1,1
24,14,190,10.0,8.4922475,0.111384879,0.0,1,1
1,15,216,11.0,8.024615,0.48214975,0.0,1,1
2,15,216,11.0,7.6419675,0.466178654,0.0,1,1
3,15,216,11.0,7.408855,0.456489204,0.0,1,1
4,15,216,11.0,7.3058075,0.450420188,0.0,1,1
5,15,216,11.0,7.33573,0.452991772,0.0,1,1
6,15,216,11.0,7.61069,0.473143005,0.004285792,1,1
7,15,216,11.0,8.06367,0.433341127,0.042025651,1,1
8,15,216,11.0,8.7473025,0.430288025,0.111780254,1,1
